mpg,cylinders,displacement,horsepower,weight,acceleration,Age
29.5,4,98.0,68.0,2135,16.6,41
17.6,6,225.0,85.0,3465,16.6,38
27.0,4,97.0,60.0,1834,19.0,48
26.0,4,97.0,46.0,1950,21.0,46
26.0,4,156.0,92.0,2585,14.5,37
24.5,4,98.0,60.0,2164,22.1,43
24.0,4,90.0,75.0,2108,15.5,45
27.0,4,140.0,86.0,2790,15.6,37
23.5,6,173.0,110.0,2725,12.6,38
15.5,8,351.0,142.0,4054,14.3,40
31.0,4,71.0,65.0,1773,19.0,48
27.2,4,141.0,71.0,3190,24.8,40
34.3,4,97.0,78.0,2188,15.8,39
18.0,6,232.0,100.0,2945,16.0,46
15.0,8,390.0,190.0,3850,8.5,49
21.0,6,200.0,85.0,2587,16.0,49
18.0,6,171.0,97.0,2984,14.5,44
43.4,4,90.0,48.0,2335,23.7,39
39.0,4,86.0,64.0,1875,16.4,38
21.0,6,155.0,107.0,2472,14.0,46
24.0,4,140.0,92.0,2865,16.4,37
24.2,6,146.0,120.0,2930,13.8,38
15.5,8,350.0,170.0,4165,11.4,42
44.3,4,90.0,48.0,2085,21.7,39
20.2,6,200.0,88.0,3060,17.1,38
28.0,4,151.0,90.0,2678,16.5,39
32.7,6,168.0,132.0,2910,11.4,39
15.0,8,302.0,130.0,4295,14.9,42
16.0,8,318.0,150.0,4190,13.0,43
20.2,6,232.0,90.0,3265,18.2,40
14.0,8,455.0,225.0,3086,10.0,49
14.0,8,302.0,140.0,4638,16.0,45
13.0,8,302.0,140.0,4294,16.0,47
46.6,4,86.0,65.0,2110,17.9,39
28.0,4,97.0,75.0,2155,16.4,43
27.0,4,101.0,83.0,2202,15.3,43
19.4,8,318.0,140.0,3735,13.2,41
26.0,4,122.0,80.0,2451,16.5,45
19.2,8,305.0,145.0,3425,13.2,41
23.9,4,119.0,97.0,2405,14.9,41
24.0,4,134.0,96.0,2702,13.5,44
18.5,6,250.0,98.0,3525,19.0,42
15.0,6,258.0,110.0,3730,19.0,44
20.2,6,200.0,85.0,2965,15.8,41
28.1,4,141.0,80.0,3230,20.4,38
38.0,4,91.0,67.0,1995,16.2,37
24.0,4,113.0,95.0,2278,15.5,47
19.0,6,250.0,88.0,3302,15.5,48
25.0,4,116.0,81.0,2220,16.9,43
28.4,4,151.0,90.0,2670,16.0,40
20.0,4,140.0,90.0,2408,19.5,47
14.0,8,351.0,153.0,4154,13.5,48
38.0,4,105.0,63.0,2125,14.7,37
16.5,6,168.0,120.0,3820,16.7,43
26.0,4,98.0,79.0,2255,17.7,43
31.0,4,76.0,52.0,1649,16.5,45
32.0,4,83.0,61.0,2003,19.0,45
15.0,8,318.0,150.0,3777,12.5,46
24.0,4,121.0,110.0,2660,14.0,46
19.0,4,122.0,85.0,2310,18.5,46
29.0,4,68.0,49.0,1867,19.5,46
13.0,8,400.0,150.0,4464,12.0,46
13.0,8,440.0,215.0,4735,11.0,46
29.0,4,97.0,75.0,2171,16.0,44
20.0,4,130.0,102.0,3150,15.7,43
23.9,8,260.0,90.0,3420,22.2,40
35.7,4,98.0,80.0,1915,14.4,40
20.0,6,156.0,122.0,2807,13.5,46
31.0,4,79.0,67.0,1950,19.0,45
25.5,4,140.0,89.0,2755,15.8,42
29.0,4,85.0,52.0,2035,22.2,43
14.0,8,318.0,150.0,4237,14.5,46
25.0,4,104.0,95.0,2375,17.5,49
30.5,4,97.0,78.0,2190,14.1,42
32.4,4,108.0,75.0,2350,16.8,38
16.0,6,250.0,100.0,3781,17.0,45
27.9,4,156.0,105.0,2800,14.4,39
30.0,4,135.0,84.0,2385,12.9,38
19.0,6,232.0,90.0,3211,17.0,44
26.6,4,151.0,84.0,2635,16.4,38
18.0,4,121.0,112.0,2933,14.5,47
24.0,4,120.0,97.0,2489,15.0,45
30.0,4,79.0,70.0,2074,19.5,48
18.0,6,258.0,110.0,2962,13.5,48
32.9,4,119.0,100.0,2615,14.8,38
13.0,8,360.0,175.0,3821,11.0,46
19.0,6,225.0,100.0,3630,17.7,42
18.0,6,232.0,100.0,2789,15.0,46
36.1,4,91.0,60.0,1800,16.4,41
14.0,8,350.0,165.0,4209,12.0,48
25.0,4,110.0,87.0,2672,17.5,49
31.9,4,89.0,71.0,1925,14.0,40
20.0,8,262.0,110.0,3221,13.5,44
25.0,4,121.0,115.0,2671,13.5,44
14.0,8,302.0,137.0,4042,14.5,46
17.5,8,305.0,140.0,4215,13.0,43
24.0,4,119.0,97.0,2545,17.0,44
19.4,6,232.0,90.0,3210,17.2,41
22.4,6,231.0,110.0,3415,15.8,38
18.0,8,318.0,150.0,3436,11.0,49
28.0,4,90.0,75.0,2125,14.5,45
34.0,4,108.0,70.0,2245,16.9,37
37.3,4,91.0,69.0,2130,14.7,40
20.0,6,198.0,95.0,3102,16.5,45
29.0,4,90.0,70.0,1937,14.0,44
27.4,4,121.0,80.0,2670,15.0,40
16.5,8,350.0,180.0,4380,12.1,43
21.0,4,122.0,86.0,2226,16.5,47
29.0,4,135.0,84.0,2525,16.0,37
14.0,8,351.0,148.0,4657,13.5,44
34.4,4,98.0,65.0,2045,16.2,38
34.0,4,112.0,88.0,2395,18.0,37
16.0,8,304.0,150.0,3433,12.0,49
13.0,8,350.0,175.0,4100,13.0,46
32.0,4,71.0,65.0,1836,21.0,45
31.5,4,98.0,68.0,2045,18.5,42
33.5,4,85.0,70.0,1945,16.8,42
36.0,4,120.0,88.0,2160,14.5,37
27.0,4,97.0,88.0,2130,14.5,49
39.4,4,85.0,70.0,2070,18.6,41
33.0,4,91.0,53.0,1795,17.4,43
23.0,4,120.0,88.0,2957,17.0,44
14.5,8,351.0,152.0,4215,12.8,43
30.0,4,98.0,68.0,2155,16.5,41
18.1,8,302.0,139.0,3205,11.2,41
16.0,8,318.0,150.0,4498,14.5,44
15.0,8,350.0,145.0,4082,13.0,46
15.5,8,318.0,145.0,4140,13.7,42
28.0,4,107.0,86.0,2464,15.5,43
15.5,8,304.0,120.0,3962,13.9,43
32.1,4,98.0,70.0,2120,15.5,39
11.0,8,429.0,208.0,4633,11.0,47
22.0,4,121.0,76.0,2511,18.0,47
14.0,8,440.0,215.0,4312,8.5,49
18.0,6,225.0,105.0,3613,16.5,45
26.0,4,91.0,70.0,1955,20.5,48
17.5,6,258.0,95.0,3193,17.8,43
20.6,6,225.0,110.0,3360,16.6,40
26.0,4,98.0,90.0,2265,15.5,46
23.0,4,122.0,86.0,2220,14.0,48
32.0,4,85.0,70.0,1990,17.0,43
29.5,4,97.0,71.0,1825,12.2,43
21.0,6,199.0,90.0,2648,15.0,49
19.0,3,70.0,97.0,2330,13.5,47
38.1,4,89.0,60.0,1968,18.8,39
26.0,4,97.0,46.0,1835,20.5,49
17.6,8,302.0,129.0,3725,13.4,40
17.0,8,305.0,130.0,3840,15.4,40
23.0,4,97.0,54.0,2254,23.5,47
19.0,6,225.0,95.0,3264,16.0,44
30.0,4,88.0,76.0,2065,14.5,48
13.0,8,307.0,130.0,4098,14.0,47
33.5,4,151.0,90.0,2556,13.2,40
13.0,8,350.0,150.0,4699,14.5,45
15.0,6,250.0,72.0,3432,21.0,44
23.0,4,140.0,78.0,2592,18.5,44
37.0,4,85.0,65.0,1975,19.4,38
26.0,4,97.0,75.0,2265,18.2,42
18.0,6,232.0,100.0,3288,15.5,48
40.8,4,85.0,65.0,2110,19.2,39
18.1,6,258.0,120.0,3410,15.1,41
10.0,8,307.0,200.0,4376,15.0,49
24.0,4,107.0,90.0,2430,14.5,49
19.0,6,156.0,108.0,2930,15.5,43
24.0,6,200.0,81.0,3012,17.6,43
14.0,8,351.0,153.0,4129,13.0,47
16.5,8,351.0,138.0,3955,13.2,40
28.0,4,112.0,88.0,2605,19.6,37
26.8,6,173.0,115.0,2700,12.9,40
17.7,6,231.0,165.0,3445,13.4,41
15.0,8,429.0,198.0,4341,10.0,49
34.7,4,105.0,63.0,2215,14.9,38
17.0,8,260.0,110.0,4060,19.0,42
16.2,6,163.0,133.0,3410,15.8,41
19.9,8,260.0,110.0,3365,15.5,41
17.0,6,163.0,125.0,3140,13.6,41
18.5,8,360.0,150.0,3940,13.0,40
13.0,8,400.0,190.0,4422,12.5,47
23.2,4,156.0,105.0,2745,16.7,41
25.0,4,113.0,95.0,2228,14.0,48
13.0,8,400.0,170.0,4746,12.0,48
34.1,4,91.0,68.0,1985,16.0,38
25.1,4,140.0,88.0,2720,15.4,41
24.5,4,151.0,88.0,2740,16.0,42
